product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD15A2H,Fpar_500m,A2000057,2000-02-26,0.05,0.58,58.68,0.53,0.2096,0.0134,0.1156,289,280,96.89,2015136060544,0.35
MOD15A2H,Fpar_500m,A2000065,2000-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2015136061716,F
MOD15A2H,Fpar_500m,A2000073,2000-03-13,0.04,0.25,18.01,0.21,0.083,0.0021,0.0463,289,217,75.09,2015136061058,0.19
MOD15A2H,Fpar_500m,A2000081,2000-03-21,0.1,0.63,68.81,0.53,0.2414,0.01,0.1,289,285,98.62,2015136075814,0.41
MOD15A2H,Fpar_500m,A2000089,2000-03-29,0.05,0.15,12.33,0.1,0.078,0.0007,0.0268,289,158,54.67,2015136062919,F
MOD15A2H,Fpar_500m,A2000097,2000-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2015136075329,F
MOD15A2H,Fpar_500m,A2000105,2000-04-14,0.07,0.8,106.82,0.73,0.3748,0.0237,0.1538,289,285,98.62,2015136062939,0.56
MOD15A2H,Fpar_500m,A2000113,2000-04-22,0.04,0.16,14.17,0.12,0.1012,0.0006,0.0235,289,140,48.44,2015136200027,F
MOD15A2H,Fpar_500m,A2000121,2000-04-30,0.19,0.88,106.44,0.69,0.3735,0.0163,0.1275,289,285,98.62,2015137071158,0.52
MOD15A2H,Fpar_500m,A2000129,2000-05-08,0.26,0.89,138.45,0.63,0.4858,0.0196,0.14,289,285,98.62,2015137091640,0.48
MOD15A2H,Fpar_500m,A2000137,2000-05-16,0.33,0.89,146.5101,0.56,0.5141,0.0197,0.1404,289,285,98.62,2015137070947,0.56
MOD15A2H,Fpar_500m,A2000145,2000-05-24,0.05,0.48,37.58,0.43,0.187,0.0072,0.0848,289,201,69.55,2015137134445,F
MOD15A2H,Fpar_500m,A2000153,2000-06-01,0.42,0.89,190.5599,0.47,0.6855,0.0133,0.1151,289,278,96.19,2015137092835,F
MOD15A2H,Fpar_500m,A2000161,2000-06-09,0.36,0.89,166.2701,0.53,0.6445,0.0175,0.1322,289,258,89.27,2015137071918,F
MOD15A2H,Fpar_500m,A2000169,2000-06-17,0.4,0.88,175.65,0.48,0.6296,0.015,0.1223,289,279,96.54,2015137082334,0.75
MOD15A2H,Fpar_500m,A2000177,2000-06-25,0.48,0.9,196.08,0.42,0.688,0.0128,0.1133,289,285,98.62,2015137220657,0.72
MOD15A2H,Fpar_500m,A2000185,2000-07-03,0.5,0.89,197.39,0.39,0.6926,0.0134,0.1157,289,285,98.62,2015138105427,0.76
MOD15A2H,Fpar_500m,A2000193,2000-07-11,0.36,0.89,173.9499,0.53,0.6104,0.0218,0.1476,289,285,98.62,2015138113255,0.63
MOD15A2H,Fpar_500m,A2000201,2000-07-19,0.2,0.89,154.28,0.69,0.5413,0.0244,0.1562,289,285,98.62,2015138113324,0.65
MOD15A2H,Fpar_500m,A2000209,2000-07-27,0.23,0.89,129.8,0.66,0.5171,0.0321,0.179,289,251,86.85,2015138112300,0.5
MOD15A2H,Fpar_500m,A2000217,2000-08-04,0.05,0.21,6.73,0.16,0.1246,0.0021,0.0461,289,54,18.69,2015138053216,F
MOD15A2H,Fpar_500m,A2000233,2000-08-20,0.14,0.9,105.7,0.76,0.5312,0.0309,0.1757,289,199,68.86,2015138112141,F
MOD15A2H,Fpar_500m,A2000241,2000-08-28,0.08,0.89,154.36,0.81,0.5803,0.0258,0.1606,289,266,92.04,2015138112138,0.4
MOD15A2H,Fpar_500m,A2000249,2000-09-05,0.05,0.89,100.84,0.84,0.4328,0.0364,0.1907,289,233,80.62,2015138120529,F
MOD15A2H,Fpar_500m,A2000257,2000-09-13,0.46,0.9,194.9,0.44,0.6839,0.013,0.1142,289,285,98.62,2015138234545,0.75
MOD15A2H,Fpar_500m,A2000265,2000-09-21,0.47,0.93,192.84,0.46,0.679,0.0141,0.1188,289,284,98.27,2015139112507,0.72
MOD15A2H,Fpar_500m,A2000273,2000-09-29,0.48,0.89,165.71,0.41,0.6524,0.0135,0.1164,289,254,87.89,2015139114425,F
MOD15A2H,Fpar_500m,A2000281,2000-10-07,0.42,0.88,181.3201,0.46,0.6362,0.0179,0.1339,289,285,98.62,2015139114344,0.8
MOD15A2H,Fpar_500m,A2000289,2000-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2015139114757,F
MOD15A2H,Fpar_500m,A2000297,2000-10-23,0.18,0.72,119.88,0.54,0.4236,0.0258,0.1605,289,283,97.92,2015139130038,0.59
MOD15A2H,Fpar_500m,A2000305,2000-10-31,0.22,0.79,148.25,0.57,0.5202,0.0262,0.1618,289,285,98.62,2015139114446,0.67
MOD15A2H,Fpar_500m,A2000313,2000-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2015139114045,F
MOD15A2H,Fpar_500m,A2000321,2000-11-16,0.11,0.72,109.9,0.61,0.3856,0.0342,0.185,289,285,98.62,2015139115034,0.58
MOD15A2H,Fpar_500m,A2000329,2000-11-24,0.09,0.74,109.81,0.65,0.3853,0.0395,0.1987,289,285,98.62,2015140020653,0.55
MOD15A2H,Fpar_500m,A2000337,2000-12-02,0.08,0.66,93.6301,0.58,0.3285,0.0342,0.1849,289,285,98.62,2015140122152,0.54
MOD15A2H,Fpar_500m,A2000345,2000-12-10,0.06,0.07,3.53,0.01,0.0609,0.0,0.0028,289,58,20.07,2015140130834,F
MOD15A2H,Fpar_500m,A2000353,2000-12-18,0.07,0.63,85.7901,0.56,0.301,0.0332,0.1822,289,285,98.62,2015140122855,0.45
MOD15A2H,Fpar_500m,A2000361,2000-12-26,0.08,0.56,72.8,0.48,0.2554,0.0219,0.148,289,285,98.62,2015140121956,0.43
MOD15A2H,Fpar_500m,A2001001,2001-01-01,0.07,0.67,94.82,0.6,0.3486,0.0318,0.1784,289,272,94.12,2015140114523,0.54
MOD15A2H,Fpar_500m,A2001009,2001-01-09,0.06,0.47,68.99,0.41,0.2421,0.0133,0.1154,289,285,98.62,2015140121746,0.43
MOD15A2H,Fpar_500m,A2001017,2001-01-17,0.06,0.07,6.37,0.01,0.0601,0.0,0.001,289,106,36.68,2015140122005,F
MOD15A2H,Fpar_500m,A2001025,2001-01-25,0.09,0.52,74.82,0.43,0.2625,0.0157,0.1255,289,285,98.62,2015140130911,0.47
MOD15A2H,Fpar_500m,A2001033,2001-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2015140130832,F
MOD15A2H,Fpar_500m,A2001041,2001-02-10,0.09,0.61,88.4601,0.52,0.3104,0.0225,0.1501,289,285,98.62,2015141191307,0.5
MOD15A2H,Fpar_500m,A2001049,2001-02-18,0.09,0.52,76.29,0.43,0.2677,0.0145,0.1205,289,285,98.62,2015142183332,0.45
MOD15A2H,Fpar_500m,A2001057,2001-02-26,0.1,0.6,85.52,0.5,0.3001,0.0129,0.1137,289,285,98.62,2015142200810,0.48
MOD15A2H,Fpar_500m,A2001065,2001-03-06,0.13,0.48,78.45,0.35,0.2753,0.0108,0.1041,289,285,98.62,2015142212553,0.44
MOD15A2H,Fpar_500m,A2001073,2001-03-14,0.05,0.46,61.24,0.41,0.2149,0.0087,0.0934,289,285,98.62,2015142212601,0.31
MOD15A2H,Fpar_500m,A2001081,2001-03-22,0.05,0.58,71.92,0.53,0.2541,0.0161,0.1269,289,283,97.92,2015142212738,0.36
MOD15A2H,Fpar_500m,A2001089,2001-03-30,0.05,0.55,66.46,0.5,0.2357,0.0212,0.1456,289,282,97.58,2015142230322,0.37
MOD15A2H,Fpar_500m,A2001097,2001-04-07,0.05,0.52,70.8,0.47,0.2484,0.009,0.0949,289,285,98.62,2015142233314,0.37
MOD15A2H,Fpar_500m,A2001105,2001-04-15,0.05,0.87,30.0,0.82,0.1875,0.0257,0.1604,289,160,55.36,2015142231733,F
MOD15A2H,Fpar_500m,A2001113,2001-04-23,0.04,0.88,71.87,0.84,0.3406,0.023,0.1516,289,211,73.01,2015142232127,F
MOD15A2H,Fpar_500m,A2001121,2001-05-01,0.04,0.52,51.88,0.48,0.2568,0.0093,0.0966,289,202,69.9,2015142082809,F
MOD15A2H,Fpar_500m,A2001129,2001-05-09,0.28,0.92,164.4,0.64,0.5768,0.026,0.1612,289,285,98.62,2015142103711,0.68
MOD15A2H,Fpar_500m,A2001137,2001-05-17,0.39,0.95,168.8999,0.56,0.5926,0.0227,0.1506,289,285,98.62,2015142102028,0.63
MOD15A2H,Fpar_500m,A2001145,2001-05-25,0.29,0.88,103.22,0.59,0.5035,0.0118,0.1087,289,205,70.93,2015143041010,F
MOD15A2H,Fpar_500m,A2001153,2001-06-02,0.41,0.88,169.6,0.47,0.6548,0.0153,0.1235,289,259,89.62,2015143134823,0.7
MOD15A2H,Fpar_500m,A2001161,2001-06-10,0.42,0.89,154.36,0.47,0.6541,0.0148,0.1218,289,236,81.66,2015143105009,F
MOD15A2H,Fpar_500m,A2001185,2001-07-04,0.38,0.89,169.95,0.51,0.5963,0.0202,0.1422,289,285,98.62,2015143133028,0.68
MOD15A2H,Fpar_500m,A2001193,2001-07-12,0.05,0.89,76.84,0.84,0.392,0.0147,0.1214,289,196,67.82,2015143162342,F
MOD15A2H,Fpar_500m,A2001201,2001-07-20,0.33,0.92,170.2601,0.59,0.6124,0.0219,0.148,289,278,96.19,2015143135556,0.77
MOD15A2H,Fpar_500m,A2001209,2001-07-28,0.41,0.9,182.99,0.49,0.6421,0.0203,0.1426,289,285,98.62,2015143133359,0.66
MOD15A2H,Fpar_500m,A2001217,2001-08-05,0.34,0.89,190.28,0.55,0.67,0.0179,0.1337,289,284,98.27,2015143200746,0.77
MOD15A2H,Fpar_500m,A2001225,2001-08-13,0.3,0.93,181.1501,0.63,0.6447,0.0209,0.1444,289,281,97.23,2015144093529,0.9
MOD15A2H,Fpar_500m,A2001233,2001-08-21,0.22,0.92,153.44,0.7,0.5902,0.0288,0.1698,289,260,89.97,2015144100337,0.84
MOD15A2H,Fpar_500m,A2001241,2001-08-29,0.04,0.4,20.93,0.36,0.1268,0.0049,0.0698,289,165,57.09,2015144100342,F
MOD15A2H,Fpar_500m,A2001249,2001-09-06,0.52,0.9,202.0201,0.38,0.7088,0.0102,0.1011,289,285,98.62,2015144083759,0.57
MOD15A2H,Fpar_500m,A2001257,2001-09-14,0.52,0.93,199.59,0.41,0.7003,0.0117,0.1081,289,285,98.62,2015144102400,0.79
MOD15A2H,Fpar_500m,A2001265,2001-09-22,0.45,0.85,180.6501,0.4,0.6361,0.0135,0.1162,289,284,98.27,2015144093558,0.77
MOD15A2H,Fpar_500m,A2001273,2001-09-30,0.4,0.89,171.6101,0.49,0.6021,0.0217,0.1474,289,285,98.62,2015144100111,0.67
MOD15A2H,Fpar_500m,A2001281,2001-10-08,0.38,0.87,173.8901,0.49,0.6101,0.0212,0.1458,289,285,98.62,2015144102126,0.8
MOD15A2H,Fpar_500m,A2001289,2001-10-16,0.31,0.86,167.5101,0.55,0.5878,0.0232,0.1524,289,285,98.62,2015145001330,0.76
MOD15A2H,Fpar_500m,A2001297,2001-10-24,0.11,0.82,123.34,0.71,0.4328,0.028,0.1675,289,285,98.62,2015146030930,0.54
MOD15A2H,Fpar_500m,A2001305,2001-11-01,0.15,0.8,120.67,0.65,0.4234,0.0344,0.1856,289,285,98.62,2015145220422,0.59
MOD15A2H,Fpar_500m,A2001313,2001-11-09,0.14,0.76,121.0,0.62,0.4246,0.0309,0.1757,289,285,98.62,2015146041550,0.62
MOD15A2H,Fpar_500m,A2001321,2001-11-17,0.2,0.83,137.62,0.63,0.4829,0.0343,0.1852,289,285,98.62,2015146045507,0.68
MOD15A2H,Fpar_500m,A2001329,2001-11-25,0.09,0.76,85.93,0.67,0.3015,0.0327,0.1808,289,285,98.62,2015146061716,0.45
MOD15A2H,Fpar_500m,A2001337,2001-12-03,0.08,0.79,84.71,0.71,0.3047,0.0438,0.2092,289,278,96.19,2015146054232,0.48
MOD15A2H,Fpar_500m,A2001345,2001-12-11,0.08,0.76,61.1801,0.68,0.2507,0.0217,0.1475,289,244,84.43,2015146063912,0.47
MOD15A2H,Fpar_500m,A2001353,2001-12-19,0.08,0.74,120.13,0.66,0.4215,0.0341,0.1845,289,285,98.62,2015146072349,0.66
MOD15A2H,Fpar_500m,A2001361,2001-12-27,0.09,0.73,106.49,0.64,0.3736,0.0378,0.1945,289,285,98.62,2015146130931,0.47
MOD15A2H,Fpar_500m,A2002001,2002-01-01,0.09,0.75,109.48,0.66,0.3841,0.0365,0.1911,289,285,98.62,2015146185404,0.52
MOD15A2H,Fpar_500m,A2002009,2002-01-09,0.08,0.71,105.47,0.63,0.3701,0.0307,0.1751,289,285,98.62,2015146151346,0.58
MOD15A2H,Fpar_500m,A2002017,2002-01-17,0.06,0.23,9.07,0.17,0.0864,0.0007,0.0273,289,105,36.33,2015146145605,F
MOD15A2H,Fpar_500m,A2002025,2002-01-25,0.07,0.64,60.53,0.57,0.2124,0.0302,0.1738,289,285,98.62,2015146161358,0.35
MOD15A2H,Fpar_500m,A2002033,2002-02-02,0.06,0.15,10.53,0.09,0.0721,0.0003,0.0184,289,146,50.52,2015146152028,F
MOD15A2H,Fpar_500m,A2002041,2002-02-10,0.1,0.66,94.34,0.56,0.331,0.0208,0.1442,289,285,98.62,2015146184312,0.47
MOD15A2H,Fpar_500m,A2002049,2002-02-18,0.14,0.69,90.0399,0.55,0.3159,0.0145,0.1202,289,285,98.62,2015146162441,0.48
MOD15A2H,Fpar_500m,A2002057,2002-02-26,0.04,0.24,23.5,0.2,0.0825,0.0041,0.0641,289,285,98.62,2015146164236,0.14
MOD15A2H,Fpar_500m,A2002065,2002-03-06,0.17,0.71,111.45,0.54,0.3911,0.0132,0.115,289,285,98.62,2015147001058,0.55
MOD15A2H,Fpar_500m,A2002073,2002-03-14,0.05,0.33,38.97,0.28,0.1454,0.0024,0.0491,289,268,92.73,2015147153039,0.2
MOD15A2H,Fpar_500m,A2002089,2002-03-30,0.17,0.87,113.4499,0.7,0.3981,0.0262,0.1619,289,285,98.62,2015147164028,0.52
MOD15A2H,Fpar_500m,A2002097,2002-04-07,0.09,0.85,129.7101,0.76,0.4551,0.037,0.1923,289,285,98.62,2015147202609,0.61
MOD15A2H,Fpar_500m,A2002105,2002-04-15,0.11,0.84,136.43,0.73,0.4787,0.0324,0.18,289,285,98.62,2015148003607,0.62
MOD15A2H,Fpar_500m,A2002113,2002-04-23,0.05,0.84,108.88,0.79,0.3988,0.0352,0.1877,289,273,94.46,2015148011648,F
MOD15A2H,Fpar_500m,A2002121,2002-05-01,0.05,0.37,27.53,0.32,0.1299,0.003,0.0548,289,212,73.36,2015148011119,F
MOD15A2H,Fpar_500m,A2002129,2002-05-09,0.04,0.87,115.97,0.83,0.4733,0.0337,0.1835,289,245,84.78,2015148020547,0.66
MOD15A2H,Fpar_500m,A2002137,2002-05-17,0.12,0.82,89.73,0.7,0.3412,0.0239,0.1545,289,263,91.0,2015148031958,0.35
MOD15A2H,Fpar_500m,A2002145,2002-05-25,0.41,0.94,180.4198,0.53,0.6331,0.0165,0.1286,289,285,98.62,2015148124745,0.58
MOD15A2H,Fpar_500m,A2002153,2002-06-02,0.51,0.89,197.1599,0.38,0.6967,0.0115,0.1072,289,283,97.92,2015148135739,0.73
MOD15A2H,Fpar_500m,A2002161,2002-06-10,0.29,0.85,149.81,0.56,0.5256,0.0206,0.1434,289,285,98.62,2015148130039,0.64
MOD15A2H,Fpar_500m,A2002169,2002-06-18,0.35,0.89,172.12,0.54,0.6061,0.0225,0.1501,289,284,98.27,2015148133132,0.63
MOD15A2H,Fpar_500m,A2002177,2002-06-26,0.05,0.89,151.94,0.84,0.5712,0.0411,0.2028,289,266,92.04,2015148190023,0.26
MOD15A2H,Fpar_500m,A2002185,2002-07-04,0.09,0.89,152.65,0.8,0.6308,0.0275,0.166,289,242,83.74,2015149035200,F
MOD15A2H,Fpar_500m,A2002193,2002-07-12,0.41,0.89,182.77,0.48,0.6413,0.0194,0.1393,289,285,98.62,2015149031636,0.71
MOD15A2H,Fpar_500m,A2002201,2002-07-20,0.25,0.89,146.78,0.64,0.5825,0.0297,0.1722,289,252,87.2,2015149063653,F
MOD15A2H,Fpar_500m,A2002209,2002-07-28,0.3,0.9,173.51,0.6,0.6088,0.0211,0.1452,289,285,98.62,2015149060839,0.78
MOD15A2H,Fpar_500m,A2002217,2002-08-05,0.14,0.94,92.92,0.8,0.4765,0.0228,0.1509,289,195,67.47,2015149205207,F
MOD15A2H,Fpar_500m,A2002225,2002-08-13,0.23,0.9,132.5001,0.67,0.4907,0.0255,0.1597,289,270,93.43,2015150063842,0.72
MOD15A2H,Fpar_500m,A2002233,2002-08-21,0.49,0.92,209.0699,0.43,0.7336,0.0102,0.1009,289,285,98.62,2015150032627,0.81
MOD15A2H,Fpar_500m,A2002241,2002-08-29,0.52,0.93,200.1199,0.41,0.7096,0.011,0.1051,289,282,97.58,2015150051744,0.75
MOD15A2H,Fpar_500m,A2002249,2002-09-06,0.21,0.89,154.1199,0.68,0.5794,0.0305,0.1747,289,266,92.04,2015151001323,F
MOD15A2H,Fpar_500m,A2002257,2002-09-14,0.05,0.41,49.13,0.36,0.2729,0.005,0.0704,289,180,62.28,2015151115442,F
MOD15A2H,Fpar_500m,A2002265,2002-09-22,0.11,0.93,30.12,0.82,0.3813,0.0315,0.1776,289,79,27.34,2015151105428,F
MOD15A2H,Fpar_500m,A2002273,2002-09-30,0.49,0.9,184.5501,0.41,0.6475,0.0142,0.1192,289,285,98.62,2015151120933,0.68
MOD15A2H,Fpar_500m,A2002281,2002-10-08,0.41,0.87,181.16,0.46,0.6356,0.0163,0.1276,289,285,98.62,2015151113236,0.8
MOD15A2H,Fpar_500m,A2002289,2002-10-16,0.04,0.39,23.89,0.35,0.1531,0.0062,0.0785,289,156,53.98,2015151204108,0.19
MOD15A2H,Fpar_500m,A2002297,2002-10-24,0.06,0.71,50.23,0.65,0.2111,0.0152,0.1234,289,238,82.35,2015152072858,0.29
MOD15A2H,Fpar_500m,A2002305,2002-11-01,0.26,0.84,149.19,0.58,0.5235,0.0303,0.174,289,285,98.62,2015152062753,0.68
MOD15A2H,Fpar_500m,A2002313,2002-11-09,0.2,0.78,131.62,0.58,0.4618,0.0283,0.1681,289,285,98.62,2015152074408,0.66
MOD15A2H,Fpar_500m,A2002321,2002-11-17,0.06,0.13,10.08,0.07,0.071,0.0003,0.0169,289,142,49.13,2015152075149,F
MOD15A2H,Fpar_500m,A2002329,2002-11-25,0.06,0.66,44.42,0.6,0.1859,0.0093,0.0964,289,239,82.7,2015152215225,F
MOD15A2H,Fpar_500m,A2002337,2002-12-03,0.06,0.67,81.98,0.61,0.2887,0.0211,0.1451,289,284,98.27,2015153084143,0.24
MOD15A2H,Fpar_500m,A2002345,2002-12-11,0.05,0.54,34.21,0.49,0.1368,0.0066,0.0813,289,250,86.51,2015153085426,F
MOD15A2H,Fpar_500m,A2002353,2002-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2015153060350,F
MOD15A2H,Fpar_500m,A2002361,2002-12-27,0.08,0.3,18.93,0.22,0.0951,0.0018,0.042,289,199,68.86,2015153054825,0.3
MOD15A2H,Fpar_500m,A2003001,2003-01-01,0.06,0.25,3.61,0.19,0.1031,0.002,0.0445,289,35,12.11,2015153104130,F
MOD15A2H,Fpar_500m,A2003009,2003-01-09,0.09,0.69,107.3101,0.6,0.3765,0.0323,0.1797,289,285,98.62,2015154000022,0.59
MOD15A2H,Fpar_500m,A2003017,2003-01-17,0.08,0.74,90.06,0.66,0.316,0.0376,0.1939,289,285,98.62,2015154083209,0.43
MOD15A2H,Fpar_500m,A2003025,2003-01-25,0.06,0.68,100.42,0.62,0.3524,0.027,0.1644,289,285,98.62,2015154084649,0.57
MOD15A2H,Fpar_500m,A2003033,2003-02-02,0.12,0.71,105.55,0.59,0.3704,0.0244,0.1564,289,285,98.62,2015154095435,0.56
MOD15A2H,Fpar_500m,A2003041,2003-02-10,0.06,0.52,19.6,0.46,0.0951,0.0054,0.0736,289,206,71.28,2015156065724,F
MOD15A2H,Fpar_500m,A2003049,2003-02-18,0.09,0.66,99.31,0.57,0.3485,0.0259,0.1608,289,285,98.62,2015156064512,0.56
MOD15A2H,Fpar_500m,A2003057,2003-02-26,0.04,0.48,46.29,0.44,0.1624,0.0084,0.0919,289,285,98.62,2015156120334,0.27
MOD15A2H,Fpar_500m,A2003065,2003-03-06,0.1,0.67,100.29,0.57,0.3519,0.0176,0.1327,289,285,98.62,2015156135752,0.56
MOD15A2H,Fpar_500m,A2003073,2003-03-14,0.04,0.67,42.45,0.63,0.1489,0.0094,0.0967,289,285,98.62,2015156230020,0.24
MOD15A2H,Fpar_500m,A2003081,2003-03-22,0.11,0.63,94.23,0.52,0.3306,0.0129,0.1137,289,285,98.62,2015156225928,0.51
MOD15A2H,Fpar_500m,A2003089,2003-03-30,0.06,0.63,55.81,0.57,0.1958,0.0122,0.1106,289,285,98.62,2015156153005,0.3
MOD15A2H,Fpar_500m,A2003097,2003-04-07,0.04,0.4,19.24,0.36,0.0939,0.0028,0.053,289,205,70.93,2015157040936,F
MOD15A2H,Fpar_500m,A2003105,2003-04-15,0.13,0.88,143.08,0.75,0.502,0.0323,0.1796,289,285,98.62,2015157044542,0.63
MOD15A2H,Fpar_500m,A2003113,2003-04-23,0.21,0.9,145.02,0.69,0.5088,0.0306,0.175,289,285,98.62,2015157103456,0.57
MOD15A2H,Fpar_500m,A2003121,2003-05-01,0.05,0.89,114.83,0.84,0.4206,0.0336,0.1834,289,273,94.46,2015157084417,F
MOD15A2H,Fpar_500m,A2003129,2003-05-09,0.3,0.81,150.31,0.51,0.5274,0.0192,0.1386,289,285,98.62,2015158183622,0.68
MOD15A2H,Fpar_500m,A2003137,2003-05-17,0.05,0.89,74.68,0.84,0.3349,0.0266,0.1632,289,223,77.16,2015158185526,0.29
MOD15A2H,Fpar_500m,A2003145,2003-05-25,0.45,0.89,193.77,0.44,0.6799,0.0128,0.1132,289,285,98.62,2015158192043,0.75
MOD15A2H,Fpar_500m,A2003153,2003-06-02,0.41,0.9,166.8,0.49,0.6201,0.0216,0.1471,289,269,93.08,2015158193550,0.72
MOD15A2H,Fpar_500m,A2003161,2003-06-10,0.34,0.9,179.5,0.56,0.6298,0.0236,0.1535,289,285,98.62,2015158191825,0.7
MOD15A2H,Fpar_500m,A2003169,2003-06-18,0.38,0.89,160.43,0.51,0.6194,0.0284,0.1686,289,259,89.62,2015159181549,F
